trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,kernel_size,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
23,tcn,21.97282452808693,26.606356324329973,874.4235960018613,15.999229371529072,23.312887888401747,26.606356324329973,529.2983588913393,907.7400630504391,1186.2323660638053,145,20,5,75,128,2,0.3778940016167188,3,minmax_0_1,0.0009987662975847731,16,3.7348092380896284e-06,onecycle,5,0.25,0.01
24,tcn,30.925966636339822,36.51367438480258,1531.3104056632867,31.12656296759844,25.13766255661845,36.51367438480258,1668.5518739176694,919.8490578029553,2005.5302852692362,150,65,55,20,128,2,0.36181732286491236,3,minmax_0_1,0.0016474189635042105,16,8.706680906040469e-06,onecycle,10,0.5,0.0
25,tcn,31.96728281107421,39.399361963626,1725.6366365992524,34.360736777335404,22.141749692261218,39.399361963626,2084.653668691142,794.2684637986697,2297.987777307945,155,160,75,10,128,2,0.35229441748361334,3,minmax_0_1,0.0021131054587687588,32,5.000528602914279e-06,onecycle,5,0.25,0.01
27,tcn,29.087136730365458,36.602348179891706,1365.3891223310027,36.602348179891706,25.998959979861976,24.660102031342685,2256.4563162510444,934.7911883474236,904.9198623945401,40,70,100,75,128,2,0.33740451647704517,5,minmax_0_1,0.0009498492359220463,16,9.537172396215835e-06,plateau,5,0.25,0.01
28,tcn,34.96707727485647,44.571809294335544,1983.9414824950684,34.82176883131265,25.507653698921203,44.571809294335544,2189.0790965645774,917.2386218952556,2845.5067290253724,40,155,120,75,128,3,0.3236418577840887,5,minmax_0_1,0.0010584139701735541,16,1.1838338225384102e-06,onecycle,7,0.25,0.0
29,tcn,25.223914968905348,34.62539792925119,1285.0870950258425,34.62539792925119,21.00000624358654,20.046340733878314,2320.6311987725635,674.2785287817716,860.3515575231927,165,25,5,75,32,2,0.38673819360820066,3,minmax_0_1,0.0010880007426867498,16,9.839238483985185e-06,onecycle,5,0.25,0.01
30,tcn,32.418601665248474,40.207230668216944,1753.9279252799897,32.22890146628022,24.819672861248254,40.207230668216944,1890.3448822897988,937.1525280142488,2434.2863655359215,25,45,95,40,128,2,0.39006806690919626,3,minmax_0_1,0.0017566527142097478,16,1.1656835258702337e-05,onecycle,7,0.0,0.01
32,tcn,25.325735663597783,35.43746094726026,1101.6322098652147,35.43746094726026,22.861207719147206,17.678538324385883,1910.9681529173104,825.8823685814938,568.0461080968399,60,45,25,60,64,1,0.3428204820145895,3,minmax_0_1,0.0013120999038812998,16,2.0385729482925765e-05,onecycle,3,0.0,0.01
33,tcn,38.133555470789965,54.906626397888914,2676.558328934306,33.309999305084965,26.18404070939601,54.906626397888914,2147.440185471168,942.7117428058548,4939.523058525894,35,60,110,75,128,2,0.26273002010968627,3,standard,0.0015104754637541343,16,1.6368262979169997e-06,onecycle,3,0.25,0.01
34,tcn,25.962652802293494,34.38637432597577,1234.895603056533,34.38637432597577,25.70623714238405,17.79534693852067,2114.392211601899,950.809325774829,639.4852717928705,45,10,5,60,32,2,0.33399837916299174,3,minmax_0_1,0.001559748654935291,64,3.051860219846837e-06,plateau,3,0.0,0.01
35,tcn,28.05692799555759,34.293818191438916,1356.033154461679,34.293818191438916,24.771796073913574,25.105169721320273,2137.8847274808154,911.4546566967504,1018.7600792074713,85,45,25,30,256,2,0.3944858537258202,3,minmax_0_1,0.0006982652301553034,16,3.2882591233258065e-05,plateau,5,0.0,0.01
36,tcn,25.85897546201944,36.514951820671556,1180.3661024581213,36.514951820671556,23.828173843473195,17.233800721913575,2095.3614817673742,852.9852882260712,592.7515373809188,50,95,15,30,128,1,0.38054822163436924,3,minmax_0_1,0.0006087442595774218,16,6.8386034390439e-06,onecycle,1,0.25,0.01
37,tcn,31.770813817779224,47.81362326428294,1849.620599649251,22.44289548277855,25.055922706276178,47.81362326428294,935.5543399443553,908.3505057903016,3704.9569532130963,5,10,155,60,128,2,0.23394129314253836,5,minmax_0_1,0.0018753455877300548,64,1.862518444362386e-05,plateau,5,0.0,0.01
38,tcn,36.16186874952167,53.06574331425131,2307.7995113187562,31.35299791928381,24.066865015029908,53.06574331425131,1579.1664350946312,918.0638223478262,4426.168276513811,135,20,120,60,128,2,0.32721548580246035,3,minmax_0_1,0.0014659703324560833,16,4.905933232926329e-05,plateau,3,0.25,0.0
39,tcn,25.67980646653722,35.9518428035453,1133.2744736495333,35.9518428035453,24.02855126410723,17.059025331959127,1942.5210727350488,929.9040744044102,527.3982738091411,80,75,140,50,128,1,0.3460764493667263,3,minmax_0_1,0.001240781283039968,32,2.2371242829215492e-05,onecycle,10,0.0,0.01
40,tcn,28.459595629603143,48.65440287500445,1764.3791664952175,11.17017479587583,25.554209217929145,48.65440287500445,520.1533909633639,928.9464881949239,3844.0376203273645,160,100,60,60,128,2,0.3374766473932214,5,standard,0.0016872322654293602,16,4.993358635889442e-06,onecycle,10,0.5,0.01
41,tcn,38.88345254981734,56.313581100511044,2929.1812078524968,35.573282331362954,24.763494217578017,56.313581100511044,2540.5451405845047,954.2661705482006,5292.732312424786,85,20,155,60,128,3,0.3591016362229843,3,standard,0.0012012997063919162,64,5.658556559954593e-05,plateau,3,0.0,0.0
44,tcn,25.372942641290525,32.36574902448803,1216.5239016687092,32.36574902448803,23.984145836383103,19.76893306300044,1971.242331680906,892.5871985939046,785.7421747313169,165,75,5,30,128,2,0.37655555351265285,3,minmax_0_1,0.0005239643339260445,16,4.4402380428795455e-06,onecycle,5,0.0,0.01
45,tcn,26.6844614189739,34.446540904007854,1380.571641644878,34.446540904007854,22.743876417428254,22.862966935485602,2353.2023097933225,904.8180346516311,883.6945804896808,165,55,30,30,64,3,0.3408069399463314,3,minmax_neg1_1,0.0009808402346083813,64,1.286021592725926e-06,onecycle,5,0.0,0.01
