12:12:21 [INFO] device=cuda  family=lstm  variant=all_tricks  seeds=[0, 1, 2]  epochs=200  anneal=150  out=C:\Users\renat\OneDrive\Desktop\faks\Utrecht\Deep Learning\DeepLearningAssignment1\experiments\baselines\milestone5_lstm_all_tricks
12:13:40 [INFO] epoch   75  train_loss=0.00265  val_mae= 51.581  val_mse= 4239.49  best_mae= 17.207@e15  bad=12/30
12:13:40 [INFO] epoch   80  train_loss=0.00284  val_mae= 49.099  val_mse= 3876.41  best_mae= 17.207@e15  bad=13/30
12:13:41 [INFO] epoch   85  train_loss=0.00327  val_mae= 44.663  val_mse= 3085.26  best_mae= 17.207@e15  bad=14/30
12:13:41 [INFO] epoch   90  train_loss=0.00334  val_mae= 51.251  val_mse= 4348.19  best_mae= 17.207@e15  bad=15/30
12:13:42 [INFO] epoch   95  train_loss=0.00236  val_mae= 52.968  val_mse= 4487.24  best_mae= 17.207@e15  bad=16/30
12:13:42 [INFO] epoch  100  train_loss=0.00239  val_mae= 50.682  val_mse= 4299.11  best_mae= 17.207@e15  bad=17/30
12:13:43 [INFO] epoch  105  train_loss=0.00323  val_mae= 53.529  val_mse= 4592.09  best_mae= 17.207@e15  bad=18/30
12:13:44 [INFO] epoch  110  train_loss=0.00226  val_mae= 48.579  val_mse= 3860.67  best_mae= 17.207@e15  bad=19/30
12:13:44 [INFO] epoch  115  train_loss=0.00142  val_mae= 53.030  val_mse= 4628.17  best_mae= 17.207@e15  bad=20/30
12:13:45 [INFO] epoch  120  train_loss=0.00171  val_mae= 52.189  val_mse= 4464.62  best_mae= 17.207@e15  bad=21/30
12:13:45 [INFO] epoch  125  train_loss=0.00183  val_mae= 53.547  val_mse= 4783.55  best_mae= 17.207@e15  bad=22/30
12:13:46 [INFO] epoch  130  train_loss=0.00142  val_mae= 51.917  val_mse= 4618.65  best_mae= 17.207@e15  bad=23/30
12:13:47 [INFO] epoch  135  train_loss=0.00141  val_mae= 51.974  val_mse= 4447.80  best_mae= 17.207@e15  bad=24/30
12:13:47 [INFO] epoch  140  train_loss=0.00137  val_mae= 51.843  val_mse= 4454.45  best_mae= 17.207@e15  bad=25/30
12:13:48 [INFO] epoch  145  train_loss=0.00154  val_mae= 51.542  val_mse= 4518.99  best_mae= 17.207@e15  bad=26/30
12:13:49 [INFO] epoch  150  train_loss=0.00110  val_mae= 51.791  val_mse= 4587.68  best_mae= 17.207@e15  bad=27/30
12:13:49 [INFO] epoch  155  train_loss=0.00156  val_mae= 50.343  val_mse= 4442.19  best_mae= 17.207@e15  bad=28/30
12:13:50 [INFO] epoch  160  train_loss=0.00113  val_mae= 50.426  val_mse= 4264.80  best_mae= 17.207@e15  bad=29/30
12:13:51 [INFO] epoch  165  train_loss=0.00113  val_mae= 48.558  val_mse= 4039.11  best_mae= 17.207@e15  bad=30/30
12:13:51 [INFO] early stopping at epoch 165 (no inner-val improvement for 30 evals)
12:13:51 [INFO]   test MAE=25.882  MSE=966.25  NMSE=1.0164  best@e15
12:13:51 [INFO] 
--- holdout B  seed 1 ---
12:13:51 [INFO] epoch    5  train_loss=0.05335  val_mae= 16.966  val_mse=  835.44  best_mae= 16.966@e5  bad=0/30
12:13:51 [INFO] epoch   10  train_loss=0.05129  val_mae= 17.945  val_mse=  891.18  best_mae= 16.966@e5  bad=1/30
12:13:51 [INFO] epoch   15  train_loss=0.05039  val_mae= 17.487  val_mse=  865.07  best_mae= 16.966@e5  bad=2/30
12:13:52 [INFO] epoch   20  train_loss=0.04624  val_mae= 16.996  val_mse=  817.14  best_mae= 16.966@e5  bad=3/30
12:13:52 [INFO] epoch   25  train_loss=0.01538  val_mae= 23.348  val_mse= 1171.97  best_mae= 16.966@e5  bad=4/30
12:13:52 [INFO] epoch   30  train_loss=0.01193  val_mae= 37.194  val_mse= 2130.93  best_mae= 16.966@e5  bad=5/30
12:13:53 [INFO] epoch   35  train_loss=0.00851  val_mae= 41.841  val_mse= 2539.08  best_mae= 16.966@e5  bad=6/30
12:13:53 [INFO] epoch   40  train_loss=0.00471  val_mae= 31.266  val_mse= 1529.40  best_mae= 16.966@e5  bad=7/30
12:13:53 [INFO] epoch   45  train_loss=0.00456  val_mae= 49.020  val_mse= 3824.19  best_mae= 16.966@e5  bad=8/30
12:13:54 [INFO] epoch   50  train_loss=0.00381  val_mae= 47.835  val_mse= 3486.24  best_mae= 16.966@e5  bad=9/30
12:13:54 [INFO] epoch   55  train_loss=0.00414  val_mae= 49.669  val_mse= 3829.71  best_mae= 16.966@e5  bad=10/30
12:13:54 [INFO] epoch   60  train_loss=0.00245  val_mae= 52.531  val_mse= 4547.17  best_mae= 16.966@e5  bad=11/30
12:13:55 [INFO] epoch   65  train_loss=0.00260  val_mae= 47.083  val_mse= 3572.17  best_mae= 16.966@e5  bad=12/30
12:13:55 [INFO] epoch   70  train_loss=0.00254  val_mae= 52.601  val_mse= 4428.61  best_mae= 16.966@e5  bad=13/30
12:13:56 [INFO] epoch   75  train_loss=0.00230  val_mae= 51.074  val_mse= 4316.37  best_mae= 16.966@e5  bad=14/30
12:13:56 [INFO] epoch   80  train_loss=0.00331  val_mae= 46.386  val_mse= 3342.29  best_mae= 16.966@e5  bad=15/30
12:13:57 [INFO] epoch   85  train_loss=0.00203  val_mae= 52.961  val_mse= 4652.08  best_mae= 16.966@e5  bad=16/30
12:13:57 [INFO] epoch   90  train_loss=0.00209  val_mae= 52.116  val_mse= 4501.39  best_mae= 16.966@e5  bad=17/30
12:13:58 [INFO] epoch   95  train_loss=0.00195  val_mae= 51.819  val_mse= 4568.59  best_mae= 16.966@e5  bad=18/30
12:13:58 [INFO] epoch  100  train_loss=0.00147  val_mae= 55.032  val_mse= 4962.93  best_mae= 16.966@e5  bad=19/30
12:13:59 [INFO] epoch  105  train_loss=0.00165  val_mae= 52.654  val_mse= 4781.32  best_mae= 16.966@e5  bad=20/30
12:13:59 [INFO] epoch  110  train_loss=0.00155  val_mae= 50.529  val_mse= 4387.30  best_mae= 16.966@e5  bad=21/30
12:14:00 [INFO] epoch  115  train_loss=0.00165  val_mae= 52.707  val_mse= 4721.40  best_mae= 16.966@e5  bad=22/30
12:14:00 [INFO] epoch  120  train_loss=0.00105  val_mae= 50.364  val_mse= 4394.86  best_mae= 16.966@e5  bad=23/30
12:14:01 [INFO] epoch  125  train_loss=0.00151  val_mae= 53.035  val_mse= 4755.02  best_mae= 16.966@e5  bad=24/30
12:14:02 [INFO] epoch  130  train_loss=0.00121  val_mae= 51.559  val_mse= 4625.95  best_mae= 16.966@e5  bad=25/30
12:14:02 [INFO] epoch  135  train_loss=0.00190  val_mae= 53.192  val_mse= 4810.52  best_mae= 16.966@e5  bad=26/30
12:14:03 [INFO] epoch  140  train_loss=0.00104  val_mae= 51.849  val_mse= 4366.51  best_mae= 16.966@e5  bad=27/30
